date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20160125,23440,23520,23120,23240,7995650,9.35,1.25,14.08,1.011278791,1.007869276,1.009470078,1.002068912,0.999963588,1.000783499,1.001785918,1.001202704
20160126,23100,23140,22720,22740,7619950,9.35,1.25,14.08,1.008168078,1.002398726,1.005940619,0.998840522,1.000709755,1.001751186,1.002930439,1.002300499
20160127,22520,23500,22520,23500,13811850,9.35,1.25,14.08,1.001165368,0.995378,1.000813196,0.994020054,1.000564057,1.001618819,1.002979848,1.002300394
20160128,23280,23360,22780,22900,15795600,9.35,1.25,14.08,1.005513932,1.003684473,1.009733347,1.003511376,1.000090967,1.001122324,1.002623443,1.001895527
20160129,22800,23000,22320,23000,21849150,9.35,1.25,14.08,1.004229886,1.005875694,1.01195457,1.006457767,1.001045787,1.002207807,1.003884184,1.003109277
20160201,23040,23260,23020,23260,12998950,9.35,1.25,14.08,1.007054008,1.00934996,1.016046063,1.011283838,1.001899206,1.003558946,1.005428918,1.004634549
20160202,23220,23320,22940,23120,8317400,9.35,1.25,14.08,1.004267172,1.008275418,1.015263419,1.011094145,1.001607513,1.003571672,1.005642883,1.004835804
20160203,23000,23040,22740,22920,8725350,9.35,1.25,14.08,0.996855477,1.002971628,1.009783357,1.006116406,1.001742476,1.004155172,1.006419671,1.005630746
20160204,23000,23220,22960,23120,12397950,9.35,1.25,14.08,1.000096559,1.006625476,1.01346252,1.010681497,1.001015615,1.003978991,1.006376269,1.005661534
20160205,23120,23380,23120,23280,9404700,9.35,1.25,14.08,0.997151878,1.003316357,1.009424163,1.007711919,1.000344399,1.003552781,1.006104995,1.005474121
20160211,22360,22740,22360,22600,15263100,9.35,1.25,14.08,0.958569399,0.955725633,0.960075779,0.958974239,1.001720937,1.005189777,1.007932741,1.007403292
20160212,22600,23020,22440,22600,12811600,9.35,1.25,14.08,0.92133278,0.902006092,0.903350409,0.902139272,0.99981889,1.003230218,1.006113744,1.005658594
20160215,23080,23200,22880,23080,9157300,9.35,1.25,14.08,0.958182718,0.925595727,0.92365573,0.922189182,0.999728347,1.00292051,1.00594214,1.005557335
20160216,23160,23580,23140,23360,9020050,9.35,1.25,14.08,0.994044669,0.949235117,0.944409578,0.942758678,1.000678948,1.003814021,1.007035309,1.006720807
20160217,23580,24020,23380,23700,12303100,9.35,1.25,14.08,0.994100652,0.935946308,0.92848467,0.92612378,1.001103893,1.004334506,1.007791009,1.007563098
20160218,24060,24060,23560,23740,11124050,9.35,1.25,14.08,1.020935865,0.961635782,0.951494292,0.948181897,1.000262429,1.003014898,1.006697045,1.006547697
20160219,23740,23900,23480,23800,8842600,9.35,1.25,14.08,1.018970533,0.973559264,0.961490265,0.956916178,1.000325677,1.00300698,1.006925315,1.00685655
20160222,23800,23840,23320,23500,8744950,9.35,1.25,14.08,1.018526952,0.983438703,0.970659086,0.965144052,0.999873382,1.002516379,1.006607221,1.006615241
20160223,23580,23780,23460,23620,7383700,9.35,1.25,14.08,1.003945068,0.973326748,0.960067317,0.953816782,0.999303527,1.00156381,1.005799949,1.005877787
20160224,23560,23580,23220,23440,7024200,9.35,1.25,14.08,1.00014907,0.977855568,0.963616817,0.956648626,1.000099512,1.001905478,1.006303621,1.006456694
20160225,23440,23740,23440,23580,6681750,9.35,1.25,14.08,1.001267356,0.983959518,0.968069818,0.960546272,1.000361827,1.001932019,1.00653106,1.006759371
20160226,23600,23740,23440,23440,8867200,9.35,1.25,14.08,1.004486367,0.990801539,0.973681001,0.965501841,1.000732607,1.002126161,1.006890359,1.007190916
20160229,23580,23880,23520,23560,14434000,9.35,1.25,14.08,1.007614086,0.996137713,0.978201304,0.96920772,1.00060588,1.001867466,1.006775528,1.007161939
20160302,24000,24140,23920,23940,11818600,9.35,1.25,14.08,1.017775147,1.013863409,0.994809266,0.985211172,0.999936713,1.001115619,1.006168773,1.006651088
20160303,24260,24400,24040,24400,10949550,9.35,1.25,14.08,1.020314489,1.025294842,1.005541432,0.995381875,0.99905059,0.999934388,1.005046152,1.005606041
20160304,24400,24560,24040,24300,10074500,9.35,1.25,14.08,1.019110627,1.03362459,1.013219376,1.002277516,0.998543724,0.99901135,1.004067841,1.004712838
20160307,24400,24620,24300,24460,6568800,9.35,1.25,14.08,1.009648763,1.032125652,1.011238776,0.999562985,0.999285158,0.999305504,1.004329647,1.005046391
20160308,24460,24480,23720,23840,10810100,9.35,1.25,14.08,1.005958286,1.035891834,1.014704233,1.00225215,0.997681495,0.996916311,1.001755831,1.002503377
20160309,23760,23980,23540,23880,9169000,9.35,1.25,14.08,1.00866127,1.044383711,1.022804593,1.009922065,0.999130009,0.997793993,1.002480818,1.003269917
20160310,24160,24720,24020,24500,14177000,9.35,1.25,14.08,1.014874744,1.056105163,1.034286139,1.021506038,0.99862159,0.99673247,1.001156894,1.002055767
20160311,24500,25060,24320,24980,13361250,9.35,1.25,14.08,1.012609659,1.055155369,1.035996094,1.023593886,0.998647962,0.996387636,1.000438609,1.001428597
20160314,25340,25460,24980,25100,10857700,9.35,1.25,14.08,1.00978145,1.051385587,1.037964818,1.026028435,0.99879215,0.995902474,0.999639458,1.000717691
20160315,25100,25280,24920,25060,8640400,9.35,1.25,14.08,1.007527362,1.049125892,1.040366366,1.02908998,1.000027247,0.997169833,1.000645255,1.001818994
20160316,25120,25260,25060,25120,7342800,9.35,1.25,14.08,1.003647321,1.044654365,1.038877769,1.029022506,0.999818281,0.996806848,0.999947749,1.001190756
20160317,25300,25920,25140,25260,12343450,9.35,1.25,14.08,0.999699279,1.036408188,1.0346205,1.025869505,1.000944845,0.998239999,1.001036547,1.002371164
20160318,25560,25560,25260,25460,11265700,9.35,1.25,14.08,1.003105951,1.037299958,1.038665416,1.031044833,1.001126187,0.998876343,1.001382355,1.00284076
20160321,25480,25580,25160,25340,9058500,9.35,1.25,14.08,0.998958335,1.029741755,1.033896281,1.027143048,1.000453926,0.99877419,1.000983271,1.002537806
20160322,25340,25580,25240,25380,10143600,9.35,1.25,14.08,0.998172582,1.025234652,1.031919672,1.025820575,1.000535507,0.999236307,1.001179176,1.002819725
20160323,25380,25580,25240,25580,9870900,9.35,1.25,14.08,0.99627729,1.018536799,1.028225679,1.022560509,0.999782222,0.99887357,1.000591049,1.002298488
20160324,25580,25800,25320,25640,10939750,9.35,1.25,14.08,0.993255373,1.010755468,1.022976465,1.017887881,1.000462694,0.999859462,1.00134163,1.003130376
20160325,25660,25800,25560,25760,7172300,9.35,1.25,14.08,0.992221412,1.00351938,1.017818294,1.013342909,1.000127012,0.999700743,1.000926868,1.00279071
20160328,25760,26000,25760,25880,6060900,9.35,1.25,14.08,0.987066913,0.991710951,1.007351912,1.003444529,1.000090715,0.99992744,1.000874576,1.002825549
20160329,25880,26000,25700,25800,8622700,9.35,1.25,14.08,1.003109406,1.003789242,1.021354213,1.018240823,1.001197083,1.001446837,1.002158938,1.0042096
20160330,26200,26420,26040,26160,13380250,9.35,1.25,14.08,1.009361487,1.008429968,1.027786156,1.025048532,1.000833991,1.001580775,1.002089862,1.004230722
20160331,26120,26280,25960,26240,19130750,9.35,1.25,14.08,1.004723093,1.003000053,1.02354363,1.021005333,1.000924348,1.00200719,1.002379271,1.004612242
20160401,25980,26180,25420,25580,13557800,9.35,1.25,14.08,1.005895355,1.005131964,1.026650136,1.024410884,1.000760897,1.002240708,1.002537044,1.004851979
20160404,25580,26100,25580,26100,9402300,9.35,1.25,14.08,1.009039607,1.012460711,1.035668403,1.033520917,1.000045276,1.001875568,1.002064194,1.004452384
20160405,25980,25980,25200,25200,11815950,9.35,1.25,14.08,1.004510713,1.009034477,1.033550673,1.031358712,0.999827959,1.001576017,1.001783499,1.00423433
20160406,25380,25820,25360,25700,9211700,9.35,1.25,14.08,1.001260933,1.005562995,1.030702968,1.028615255,1.000126753,1.001886502,1.002091754,1.004600192
20160407,26000,26000,25160,25380,12939750,9.35,1.25,14.08,1.003200431,1.009357622,1.034933507,1.032899575,0.999918514,1.001514423,1.001758944,1.004331353
