20170224,76900,77900,76000,76300,57565
20170223,78100,78100,76000,77000,60117
20170222,76600,78100,76300,77300,49600
20170221,73500,76900,73300,76500,46682
20170220,74600,75000,73600,73800,30275
20170217,74600,75900,73900,75600,30195
20170216,72100,75900,72100,75800,67704
20170215,71700,73600,71400,71800,72560
20170214,73700,73700,70900,71700,65403
20170213,72300,74000,71300,73700,74018
20170210,71500,72900,70100,72300,98638
20170209,71400,71600,70800,71300,66026
20170208,72900,72900,70900,71500,44520
20170207,74200,74300,72300,72800,43150
20170206,71200,74600,70800,74600,85693
20170203,70900,71400,69800,70300,34804
20170202,72800,72800,70900,70900,51492
20170201,72500,72600,71900,72600,39271
20170131,72200,72800,71300,72600,35330
20170126,72000,74900,71500,73800,64048
20170125,72000,72300,71100,72000,18214
20170124,73000,73000,70700,71900,52194
20170123,72500,73400,72200,73000,10598
20170120,74500,74500,72000,72100,66516
20170119,74200,76300,74200,74500,65013
20170118,74700,75000,73800,74900,33986
20170117,71800,75200,71200,74400,82871
20170116,74300,74300,71300,71800,38825
20170113,71500,74200,70900,73700,54243
20170112,71500,72300,70700,71500,27361
20170111,69600,72000,68600,71300,66076
20170110,70400,71500,68700,69600,59154
20170109,70700,71400,69700,71000,22023
20170106,69500,71100,69500,70700,19005
20170105,70000,71200,69600,70300,38193
20170104,71000,71300,70000,70300,36389
20170103,70300,70900,69600,70900,29845
20170102,71300,71800,70100,70800,22265
20161229,71700,72200,70400,72000,28303
20161228,71400,71800,69900,71400,32762
20161227,69900,71500,69500,70900,40476
20161226,70400,71200,69500,70500,32259
20161223,66300,71500,66300,70000,82513
20161222,66500,68000,66000,67000,33862
20161221,67900,67900,66100,66300,31022
20161220,67000,68100,67000,67500,27761
20161219,68100,68300,66400,67000,26742
20161216,69600,70200,67600,68300,44299
20161215,66000,70000,65800,69000,58516
20161214,66800,66900,65700,66600,26502
20161213,66800,66800,65800,66000,28183
20161212,67800,67800,66400,66800,33731
20161209,68100,68100,66200,66900,34898
20161208,64600,67900,64300,67800,60689
20161207,63800,64400,62600,63800,41198
20161206,62800,64200,62300,64200,27696
20161205,64300,64600,62400,62400,48386
20161202,63800,65500,63500,65000,35984
20161201,64000,64700,63700,63700,24181
20161130,64600,65400,63400,64000,33398
20161129,63500,65100,63100,64700,37744
20161128,62900,64100,62200,63500,34263
20161125,63500,64500,62300,62600,45634
20161124,65800,65800,63400,64000,32295
20161123,63500,66400,63500,65800,78722
